,buss_type,pay_type_x,bal,norm_bal_x,dlay_bal,dull_bal,fine_pr_int,fine_intr_int,five_class_x,is_vc_vouch,loan_use_add,all_bal,marrige,education,career,prof_title,is_employee,is_shareholder,is_black,is_contact,is_mgr_dep,loan_type,float_tpename,loan_amt,loan_bal,vouch_type_x,five_class_y,overdue_class,overdue_flag,owed_int_flag,delay_bal_x,loan_use_x,inte_settle_type,guar_amount,bad_bal,due_intr,norm_bal_y,delay_bal_y
buss_type,1.0,0.20220817672673821,0.28146487807114307,0.2612884972597206,0.007938066992250912,0.04131157877581256,0.10178404113548498,0.0032492781685395876,-0.12664725280963404,0.13568870381382572,0.22286051202639548,-0.023630545629496034,0.01396554402219652,-0.0966225129686065,-0.03805796341577324,-0.10114490721874324,-0.16833719803523262,0.09030035386770643,0.08259515906633909,0.00017288472695299167,,-0.1533573180430996,-0.10441657703342404,0.34201905570292873,0.3223590911091445,0.02415791227308814,0.02886315652386115,-0.011700682593931644,0.005350052559253509,0.0054743155492386515,0.1588338170145802,-0.07658439621069628,0.05025506167795007,0.12217062501806102,0.053431918948914026,0.025797923298528386,0.24660808381144622,0.0354428144805757
pay_type_x,0.20220817672673821,1.0,0.38049318384949415,0.36674764480127625,0.03149974934747492,0.09045824958999316,0.23049632286115684,0.021390440600198013,-0.7383753925311736,0.4347393849044277,0.1000995816480871,-0.029959546034801283,0.03361863184524462,-0.09511135505804211,-0.0700074160157188,-0.0757352733970624,-0.10786366884347207,0.03299672789048455,0.08503674636517211,-0.004768857669723853,,-0.16087924819114946,-0.13997618177236043,0.11884143561029503,0.10638598889825207,0.08498331283959172,0.05215264128887742,-0.05116332235486795,0.030053807176659557,0.028482646430885616,0.008724147648524626,-0.1452369804690297,0.060555354099688034,0.14005526916710864,0.06323659718827822,0.02326069813587746,0.08676776616543828,0.05819433889914797
bal,0.28146487807114307,0.38049318384949415,1.0,0.9658237745474042,0.03419573793983048,0.11704772916346108,0.542273544101079,0.027517391128036996,-0.25839107342043155,0.1420201998345048,0.1309923417317686,-0.06895287284971399,0.06444045499239517,-0.09383272525148972,-0.07873240650649775,-0.045299243575214435,-0.1875172101919093,0.013863074265004997,0.05292069896067442,-0.001452087077565233,,-0.23325863585314255,-0.21103375844377523,0.27528479740528256,0.27973011028576783,0.13434209733006852,0.019268751053784665,-0.008819821032806091,-0.011998157505308693,-0.019194959332448705,-0.011408023170785134,-0.20034222592923848,0.04096344293974275,0.2295181025556026,0.04340249971669171,0.0008664190743831127,0.2630870581152455,0.03067018899694494
norm_bal_x,0.2612884972597206,0.36674764480127625,0.9658237745474042,1.0,0.025768583012213263,-0.009799635426349918,0.5454227740495278,0.005072111643056778,-0.2549753734771992,0.13378074368186427,0.12157367930361623,-0.06354403766145533,0.06108985462209956,-0.09529499072093495,-0.07739246205958639,-0.04137104515491861,-0.18426785699125328,0.016194345932226052,0.009322149672049564,-0.001380546217807442,,-0.23445853963097882,-0.21571702382178964,0.27269545021628017,0.2766369279072964,0.14731553809505604,-0.03275727126360872,0.0408897590967038,-0.03363506737635627,-0.041147000907581825,-0.0350905126926273,-0.20607165992416404,-0.030276377996397215,0.23391950643287063,-0.026818508340727864,-0.04195268432297528,0.25938088252175556,-0.042323958104750155
dlay_bal,0.007938066992250912,0.03149974934747492,0.03419573793983048,0.025768583012213263,1.0,0.054014311740144885,0.05656101340921063,0.06787025053536107,-0.019749665756273613,0.015653339926367665,-0.0007108419801541908,-0.01182019720370133,0.006055605925865118,-0.008271473995284245,-0.001686424290691668,-0.01088511974094309,-0.02180419284677095,-0.0027669187313857707,0.0710039807844949,-0.0001746321521332407,,-0.012864024089493763,-0.011641207916970991,0.0002627962955592054,0.00020941149381801502,0.0065505783922930735,0.048690695478191895,-0.03245183571829159,0.06393332174119884,0.047530157042030195,0.02133238765298507,-0.011224358182848787,0.028564276375204496,0.015411630605522362,0.05311786836602823,0.0021202759988346947,-0.0022118758532145497,0.022194931097197286
dull_bal,0.04131157877581256,0.09045824958999316,0.11704772916346108,-0.009799635426349918,0.054014311740144885,1.0,0.06284607729127073,0.13400145793088836,-0.03767286067229867,0.05681149720430807,0.05698319811789429,-0.03706581332484726,0.007999731616708144,-0.013803649198178081,0.0005432808184177584,-0.03183780253433555,-0.02431379557402166,-0.008540397993682832,0.220864537908432,-0.0005390212819746521,,0.0019660112380924955,0.014116082783078744,-0.018286597324713934,-0.021125385183648374,-0.061184545545100846,0.2656550359644587,-0.28141885917498244,0.1044427022253611,0.1007159619611195,0.08648523044255685,0.02129599503190453,0.3736926253877867,-0.013794627254456893,0.32365772380678276,0.2001605652556297,-0.020337491456331784,0.38962818157832535
fine_pr_int,0.10178404113548498,0.23049632286115684,0.542273544101079,0.5454227740495278,0.05656101340921063,0.06284607729127073,1.0,0.05771058636634753,-0.17901511525424324,0.09296483766966615,0.07207919010683088,-0.05669115051782566,0.05684416152724482,-0.08388306815141114,-0.0450032902273932,-0.031961833135425444,-0.14064924333777712,-0.0029461444203596862,0.03176717390524176,-0.001100974480194243,,-0.22511136502123738,-0.22658217106992093,0.1027739485068745,0.09346803669170643,0.15701382411580905,0.014165463040646316,0.0031636914231713675,-0.004141314958473894,-0.01051269321573481,-0.09891748200128907,-0.23597584851179243,0.0006620236948402371,0.20058341658688666,0.008277659549656237,-0.014390661365866409,0.12276807129809629,-0.008743169649412274
fine_intr_int,0.0032492781685395876,0.021390440600198013,0.027517391128036996,0.005072111643056778,0.06787025053536107,0.13400145793088836,0.05771058636634753,1.0,-0.013288821903665239,0.027543531570373234,0.01494025276445437,-0.020077484033521758,0.005040741291897042,-0.018681046951579173,0.009513304548147947,-0.019401180642585322,-0.02316544547474334,0.0008047182163675315,0.10720771070924495,-0.0002889237778677258,,0.0005635418333559503,0.006599251719172111,-0.011421348612206556,-0.011434842491766843,-0.03205375703961818,0.11515069722906288,-0.1106856426639452,0.06380548939799388,0.06295568837233187,0.03705680601293163,0.009883333022110934,0.0754833916503487,-0.01037704085663815,0.048795835379847365,0.03143149671677425,-0.01341705728778122,0.057843624469622434
five_class_x,-0.12664725280963404,-0.7383753925311736,-0.25839107342043155,-0.2549753734771992,-0.019749665756273613,-0.03767286067229867,-0.17901511525424324,-0.013288821903665239,1.0,-0.47902411734498473,-0.0617455606618646,0.0034844520902190266,-0.014679883482311007,0.06834418948548159,0.01806349703685223,0.08515618289949797,0.12906026359559267,-0.04164318907893173,-0.07435779573896507,0.005076957052079206,,0.0689537455975001,0.05290156654143379,-0.0685176815680699,-0.06358190126239323,-0.01364339555994012,-0.03726989975411902,0.028977147453067162,-0.025942354788280105,-0.02658972214503673,-0.06869567012916948,0.04855104684117786,-0.029404899104487566,-0.06115621902440541,-0.028290613627165624,-0.010262581799649567,-0.036084169294625504,-0.027995176646181768
is_vc_vouch,0.13568870381382572,0.4347393849044277,0.1420201998345048,0.13378074368186427,0.015653339926367665,0.05681149720430807,0.09296483766966615,0.027543531570373234,-0.47902411734498473,1.0,-0.057085212939888365,0.14738269894780617,-0.05455889724884705,-0.025580700617591632,0.34305703789826764,-0.3387786852822543,0.031241249052779484,0.043469094142603346,0.09712570661874259,0.0036749628655263836,,-0.27066291210245547,-0.22502463821834337,0.13800293700759914,0.11367469824413459,0.07652155415391745,0.11791120986248492,-0.08618968697121615,0.1030813260233917,0.12928037114167745,0.0937460031200554,-0.234698786723166,0.0912919910241897,0.2031897195828231,0.10154582140439453,0.11258461464368144,0.1623480071466268,0.0916144901147305
